Establishment,ICT,BIOLOGY,GEOLOGY,HISTORY,ECONOMICS,GEOGRAPHY,MARKETING,DATA PROCESSING,BUSINESS MATHEMATICS,BUSINESS MANAGEMENT,PHYSICS,MATHEMATICS AND MECHANICS,CHEMISTRY,PHILOSOPHY,LITERATURE IN ENGLISH,RELIGIOUS STUDIES,PURE MATHEMATICS WITH STATISTICS,FRENCH,FOOD SCIENCE AND NUTRITION,FURTHER MATHEMATICS,PURE MATHEMATICS WITH MECHANICS,COMMERCE AND FINANCE,ENGLISH LANGUAGE,COMPUTER SCIENCE,ACCOUNTING,LAW,COMMUNICATION SKILLS,SECRETERIAL ADMINISTRATION,ENGINEERING SCIENCE
Faculty of Arts,null,null,null,C,null,null,null,null,null,null,null,null,null,null,C,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,A,E,null,null,null,null,null,null,null,O,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,null,null,E,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,C,null,D,C,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,D,null,C,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,B,E,null,null,null,null,null,null,null,null,null,E,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,C,null,E,null,null,null,null,null,null,B,B,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,E,null,null,null,null,null,null,null,null,null,B,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,B,null,null,null,null,null,null,null,null,null,B,D,null,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,null,F,C,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null
Faculty of Arts,null,null,null,B,null,E,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,B,null,null,null,null,null,null,null,E,null,D,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null
Faculty of Arts,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,E,null,E,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,D,D,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,E,null,null,null,null,null,null,null,O,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,D,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,C,null,null,null,null,null,null,null,null,null,F,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,D,D,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,O,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,D,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,B,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,D,E,null,null,null,null,null,null,null,D,null,A,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,C,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,null,null,null,null,null,null,null,null,null,E,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,D,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,D,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,A,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,,null,null,,null,null,null,null,null,null,null,null,null,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,C,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,E,null,null,null,null,null,null,null,null,O,null,C,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,D,null,C,null,null,null,null,null,null,C,C,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,null,null,D,null,null,null,null,F,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,B,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,F,null,null,null,null,null,null,null,null,null,F,E,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,E,null,C,null,null,null,null,null,null,D,C,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,F,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,E,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,null,D,A,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,F,null,D,null,null,null,null,null,null,O,E,null,null,null,null,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,,B,,null,null,null,null,null,null,,D,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,E,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,O,E,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,X,E,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,O,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,D,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,E,null,null,E,null,null,null,null,null
Faculty of Arts,null,null,null,C,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,null,null,null,null,null,null,null,null,null,C,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,E,null,E,null,null,null,null,null,B,null,E,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,null,D,C,null,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,null,D,null,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,,,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,O,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,D,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,E,E,B,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,B,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,C,null,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,null,null,C,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,null,null,null,null,null,null,null,null,null,E,E,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,A,E,null,null,null,null,null,null,null,null,D,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,E,null,null,null,null,null,null,null,null,null,null,F,null,null,null,F,null,C,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,D,null,null,null,null,null,null,null,null,C,B,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,E,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,null,null,C,null,null,null,E,null,null,null,null,null,null,D,null,null,null,null,null
Faculty of Education,null,null,null,D,F,E,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,A,null,null,null,null,null,null,null,null,D,A,B,null,null,null,null,null,null,A,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,F,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,O,null,null,null,null,null,null
Faculty of Education,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,E,null,C,null,null,null,null,null,null,C,D,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,null,null,D,null,null,null,C,null,C,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,E,F,null,null,null,null,null,null,null,null,null,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,F,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,D,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,E,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,null,null,null,null,null,null,null,null,null,null,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,D,D,D,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Education,null,null,null,E,O,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,null,F,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,,,null,null,null,null,null,null,null,,null,null,,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,D,E,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,,null,,null,,,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,null,C,null,E,A,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,D,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,E,null,null,null,null,null,null,null,null,C,null,D,null,null,null,null,null,null,B,A,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,D,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,E,null,null,C,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,B,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,O,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,D,D,A,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,null,C,null,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,A,null,null,null,null,null,null,null,null,E,null,D,null,null,null,null,null,null,B,D,null,null,null,null,null,null,null,null
Faculty of Science,null,null,null,null,null,null,null,null,null,null,A,null,C,null,null,null,null,null,null,C,C,null,null,C,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,D,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,D,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,E,null,null,null,null,null,null,null,null,null,D,D,null,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,E,null,E,null,null,null,null,null,A,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,D,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,E,C,null,null,C,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,O,E,C,null,null,null,null,null,null,O,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,D,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,A,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,F,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,C,null,D,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,B,C,null,null,null,null,null,null,null,C,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,D,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,E,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,E,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,null,null,A,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,C,E,null,null,null
Faculty of Social and Management Sciences,O,null,null,D,,,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,E,O,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,C,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,null,null,null,null,null,null,null,null,null,null,null,E,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,null,D,null,A,B,null,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,null,B,null,null,B,null,null,null,null,E,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,E,C,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,B,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,C,D,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,E,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,C,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,B,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,A,B,null,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,F,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,D,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,E,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,null,null,A,B,null,null,null,null,null,null,null,null,null,null,null,E,null,null,O,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,O,null,D,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,null,null,null,null,null,null,null,null,null,C,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,E,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,E,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,E,null,null,C,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,O,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,C,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,C,C,null,null,null,null,null,null,null,O,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,B,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,D,null,D,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,E,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,E,null,D,null,null,null,null,null,null,D,C,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,E,null,F,E,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,B,null,null,null,null,null,null,null,null,null,B,null,C,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,E,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
